artist,name,username,explicit,duration,popularity,danceability,loudness,tempo,acousticness,energy,valence,liveness,speechiness,genres,date
Bill Haley & His Comets,(We're Gonna) Rock Around The Clock,,False,129893,64,0.811,-6.317,90.686,0.205,0.859,0.784,0.0761,0.168,"['adult standards', 'brill building pop', 'rock-and-roll', 'rockabilly']",1955-12-19
Jackie Wilson,Reet Petite,,False,169240,60,0.664,-6.526,84.345,0.447,0.66,0.873,0.298,0.13,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'funk']",1958
Jackie Wilson,Lonely Teardrops,,False,166213,51,0.524,-8.894,137.133,0.406,0.478,0.843,0.74,0.118,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'funk']",1959
Jackie Wilson,I Get The Sweetest Feeling,,False,178373,59,0.684,-9.234,123.532,0.778,0.482,0.749,0.148,0.0371,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'funk']",1968
Jackie Wilson,I Get The Sweetest Feeling,,False,178373,59,0.684,-9.234,123.532,0.778,0.482,0.749,0.148,0.0371,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'funk']",1968
Cliff Richard,Living Doll - 2003 Remaster,,False,156786,46,0.572,-7.782,62.658,0.527,0.463,0.764,0.0958,0.0517,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'europop']",2017-11-10
Cliff Richard,We Don't Talk Anymore - 2001 Remaster,,False,257160,59,0.746,-7.853,111.569,0.0014,0.703,0.733,0.066,0.0291,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'europop']",1979
Various Artists,All I Have to Do Is Dream,,False,141240,0,0.542,-14.011,103.709,0.783,0.347,0.596,0.144,0.0268,[],2011-12-05
Various Artists,Baby (You've Got What It Takes),,False,164400,0,0.69,-9.92,132.892,0.851,0.508,0.818,0.496,0.0469,[],2011-01-01
Various Artists,Something's Got A Hold On Me - Single Version,,False,166466,0,0.474,-5.913,150.122,0.675,0.566,0.592,0.548,0.113,[],2011-01-01
Various Artists,Something's Got A Hold On Me - Single Version,,False,166466,0,0.474,-5.913,150.122,0.675,0.566,0.592,0.548,0.113,[],2011-01-01
Various Artists,Blue Skies,,False,226213,0,0.464,-5.115,158.894,0.892,0.391,0.649,0.0521,0.0483,[],2011-01-01
Various Artists,Born Too Late,,False,136826,0,0.501,-9.62,85.322,0.672,0.311,0.818,0.174,0.0251,[],2008-01-01
Various Artists,Broken Hearted Melody,,False,143266,0,0.448,-11.304,132.443,0.744,0.5,0.768,0.191,0.0356,[],2008-01-01
Various Artists,It's All In The Game,,False,158053,0,0.546,-16.085,70.564,0.845,0.167,0.628,0.127,0.0308,[],2008-01-01
Various Artists,Chantilly Lace - Single Version,,False,143040,0,0.45,-9.455,171.421,0.83,0.668,0.829,0.0857,0.0968,[],2007-01-01
Various Artists,I Left My Heart In San Francisco,,False,169746,0,0.235,-12.106,169.738,0.949,0.244,0.149,0.134,0.0312,[],2007-12-10
Various Artists,Runaway - Rerecorded,,False,147080,63,0.712,-6.826,143.563,0.0893,0.819,0.739,0.11,0.094,[],2009-09-30
Various Artists,Runaway - Rerecorded,,False,147080,63,0.712,-6.826,143.563,0.0893,0.819,0.739,0.11,0.094,[],2009-09-30
Various Artists,It's My Party,,False,134453,0,0.797,-8.966,133.704,0.581,0.542,0.963,0.126,0.045,[],2003-01-01
Various Artists,It's My Party,,False,134453,0,0.797,-8.966,133.704,0.581,0.542,0.963,0.126,0.045,[],2003-01-01
Various Artists,Sweet Soul Music,,False,141066,45,0.59,-9.669,80.201,0.104,0.659,0.965,0.356,0.0697,[],2017-08-10
Various Artists,Sweet Soul Music,,False,141066,45,0.59,-9.669,80.201,0.104,0.659,0.965,0.356,0.0697,[],2017-08-10
Various Artists,Raindrops Keep Fallin' on My Head,,False,173026,26,0.739,-8.696,110.846,0.481,0.406,0.755,0.0709,0.0349,[],2013-01-28
Various Artists,Raindrops Keep Fallin' on My Head,,False,173026,26,0.739,-8.696,110.846,0.481,0.406,0.755,0.0709,0.0349,[],2013-01-28
Various Artists,You're The One That I Want - From “Grease”,,False,169840,76,0.758,-11.403,106.945,0.281,0.612,0.822,0.0954,0.0598,[],1978-04-04
Various Artists,Summer Nights - From “Grease”,,False,216906,70,0.747,-9.415,124.336,0.62,0.663,0.606,0.0861,0.0545,[],1978-04-04
Various Artists,I Can Dream About You,,False,247800,55,0.747,-12.165,112.987,0.1,0.533,0.875,0.0344,0.0554,[],1984-01-01
Various Artists,You'll Be In My Heart,,False,258399,65,0.568,-6.523,96.699,0.0572,0.748,0.615,0.0932,0.0298,[],1999-01-01
Various Artists,L'Amour Toujours,,False,238759,69,0.617,-7.932,139.066,0.0328,0.728,0.808,0.36,0.0292,[],2011-01-14
Various Artists,Toxic,,False,198800,60,0.774,-3.914,143.04,0.0249,0.838,0.924,0.242,0.114,[],2018-03-02
Various Artists,TiK ToK,,False,199733,63,0.745,-6.781,120.046,0.0608,0.667,0.633,0.283,0.121,[],2014-08-29
Various Artists,Maria Maria (feat. The Product G&B) - Radio Edit,,False,237920,52,0.755,-5.042,97.923,0.0532,0.744,0.819,0.0263,0.0996,[],2014-08-29
Fats Domino,I'm Walkin',,False,135093,47,0.729,-13.056,109.005,0.678,0.555,0.979,0.155,0.0483,"['adult standards', 'brill building pop', 'louisiana blues', 'lounge', 'new orleans blues']",1962-01-01
Fats Domino,Blueberry Hill,,False,147880,61,0.489,-9.702,133.341,0.74,0.499,0.829,0.156,0.0271,"['adult standards', 'brill building pop', 'louisiana blues', 'lounge', 'new orleans blues']",1959-01-01
Fats Domino,Ain't That A Shame,,False,152200,59,0.486,-8.57,122.894,0.767,0.501,0.942,0.0679,0.0326,"['adult standards', 'brill building pop', 'louisiana blues', 'lounge', 'new orleans blues']",1959-01-01
Fats Domino,Jambalaya (On The Bayou),,False,144066,0,0.605,-8.672,75.322,0.819,0.845,0.965,0.253,0.0596,"['adult standards', 'brill building pop', 'louisiana blues', 'lounge', 'new orleans blues']",1988-03-03
Sarah Vaughan,Black Coffee,,False,200440,57,0.38,-11.977,94.23,0.973,0.155,0.127,0.0977,0.0311,"['adult standards', 'bebop', 'cool jazz', 'jazz', 'lounge']",1955-04-12
Sam Cooke,You Send Me,,False,163560,0,0.538,-13.817,96.951,0.945,0.226,0.553,0.125,0.0288,"['adult standards', 'brill building pop', 'classic soul', 'rock-and-roll', 'soul']",1993
Sam Cooke,(What A) Wonderful World,,False,125440,72,0.691,-10.23,128.518,0.627,0.507,0.885,0.457,0.0343,"['adult standards', 'brill building pop', 'classic soul', 'rock-and-roll', 'soul']",2000-09-26
Sam Cooke,(What A) Wonderful World,,False,125440,72,0.691,-10.23,128.518,0.627,0.507,0.885,0.457,0.0343,"['adult standards', 'brill building pop', 'classic soul', 'rock-and-roll', 'soul']",2000-09-26
Ricky Nelson,Poor Little Fool - Remastered,,False,153933,55,0.474,-11.528,154.596,0.648,0.338,0.81,0.13,0.0299,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge']",1958-07-01
Ricky Nelson,Travelin' Man - Remastered,,False,143200,57,0.723,-10.536,123.217,0.667,0.44,0.843,0.128,0.0319,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge']",1961-01-01
Ricky Nelson,"Hello Mary Lou, Goodbye Heart - Remastered",,False,138546,58,0.602,-9.756,98.995,0.502,0.633,0.931,0.0614,0.0314,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge']",1961-01-01
Ricky Nelson,Travelin' Man - Remastered,,False,143200,57,0.723,-10.536,123.217,0.667,0.44,0.843,0.128,0.0319,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge']",1961-01-01
Ricky Nelson,"Hello Mary Lou, Goodbye Heart - Remastered",,False,138546,58,0.602,-9.756,98.995,0.502,0.633,0.931,0.0614,0.0314,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge']",1961-01-01
The Platters,The Great Pretender,,False,157360,64,0.425,-9.427,115.71,0.943,0.401,0.531,0.072,0.0315,"['adult standards', 'brill building pop', 'doo-wop', 'lounge', 'rock-and-roll']",1986-01-01
