artist,name,username,explicit,duration,popularity,danceability,loudness,tempo,acousticness,energy,valence,liveness,speechiness,genres,date
Tamikrest,Tisnant an Chatma,El-Bahramino,False,290800,42,0.329,-5.06,156.898,0.331,0.887,0.565,0.085,0.0516,"['afropop', 'desert blues', 'malian blues', 'mande pop', 'tuareg guitar']",2013-09-13
Tamikrest,Tisnant an Chatma,El-Bahramino,False,290800,42,0.329,-5.06,156.898,0.331,0.887,0.565,0.085,0.0516,"['afropop', 'desert blues', 'malian blues', 'mande pop', 'tuareg guitar']",2013-09-13
Tamikrest,Tisnant an Chatma,El-Bahramino,False,290800,42,0.329,-5.06,156.898,0.331,0.887,0.565,0.085,0.0516,"['afropop', 'desert blues', 'malian blues', 'mande pop', 'tuareg guitar']",2013-09-13
Ali Farka Touré,Ai Du (with Ry Cooder),El-Bahramino,False,429973,58,0.57,-17.168,151.78,0.306,0.225,0.408,0.0689,0.029,"['afrobeat', 'afropop', 'desert blues', 'malian blues', 'mande pop']",1994-03-28
Ali Farka Touré,Ai Du (with Ry Cooder),El-Bahramino,False,429973,58,0.57,-17.168,151.78,0.306,0.225,0.408,0.0689,0.029,"['afrobeat', 'afropop', 'desert blues', 'malian blues', 'mande pop']",1994-03-28
Ali Farka Touré,Ai Du (with Ry Cooder),El-Bahramino,False,429973,58,0.57,-17.168,151.78,0.306,0.225,0.408,0.0689,0.029,"['afrobeat', 'afropop', 'desert blues', 'malian blues', 'mande pop']",1994-03-28
Ali Farka Touré,56,El-Bahramino,False,417186,44,0.448,-10.141,89.475,0.807,0.411,0.471,0.121,0.0292,"['afrobeat', 'afropop', 'desert blues', 'malian blues', 'mande pop']",2010-02-22
Ali Farka Touré,56,El-Bahramino,False,417186,44,0.448,-10.141,89.475,0.807,0.411,0.471,0.121,0.0292,"['afrobeat', 'afropop', 'desert blues', 'malian blues', 'mande pop']",2010-02-22
Ali Farka Touré,56,El-Bahramino,False,417186,44,0.448,-10.141,89.475,0.807,0.411,0.471,0.121,0.0292,"['afrobeat', 'afropop', 'desert blues', 'malian blues', 'mande pop']",2010-02-22
Ali Farka Touré,Diaraby,El-Bahramino,False,446826,0,0.555,-18.638,142.7,0.783,0.275,0.335,0.0829,0.0359,"['afrobeat', 'afropop', 'desert blues', 'malian blues', 'mande pop']",1994-03-28
Kyuss,Space Cadet,El-Bahramino,True,422533,58,0.461,-16.225,169.675,0.449,0.168,0.309,0.267,0.042,"['alternative metal', 'alternative rock', 'grunge', 'palm desert scene', 'rock']",1994-06-07
Kyuss,Space Cadet,El-Bahramino,True,422533,58,0.461,-16.225,169.675,0.449,0.168,0.309,0.267,0.042,"['alternative metal', 'alternative rock', 'grunge', 'palm desert scene', 'rock']",1994-06-07
Kyuss,Space Cadet,El-Bahramino,True,422533,58,0.461,-16.225,169.675,0.449,0.168,0.309,0.267,0.042,"['alternative metal', 'alternative rock', 'grunge', 'palm desert scene', 'rock']",1994-06-07
Ry Cooder,Available Space,El-Bahramino,False,134066,36,0.568,-14.17,147.388,0.639,0.434,0.694,0.229,0.0379,"['blues', 'blues rock', 'country blues', 'country rock', 'folk']",1970-01-01
Ry Cooder,Available Space,El-Bahramino,False,134066,36,0.568,-14.17,147.388,0.639,0.434,0.694,0.229,0.0379,"['blues', 'blues rock', 'country blues', 'country rock', 'folk']",1970-01-01
Ry Cooder,Available Space,El-Bahramino,False,134066,36,0.568,-14.17,147.388,0.639,0.434,0.694,0.229,0.0379,"['blues', 'blues rock', 'country blues', 'country rock', 'folk']",1970-01-01
