id,playlist_id,playlist_name,artist_name,artistid,name,username,added_at,explicit,duration,popularity,danceability,loudness,tempo,acousticness,energy,valence,liveness,speechiness,genres
0hCB0YR03f6AmQaHbwWDe8,spotify:playlist:37i9dQZF1DWXRqgorJj26U,Rock Classics,Led Zeppelin,https://open.spotify.com/artist/36QJpDe2go2KgaRleHCDTp,Whole Lotta Love - 1990 Remaster,,2020-08-17,False,333893,76,0.412,-11.6,89.74,0.0484,0.902,0.422,0.405,0.405,"['album rock', 'classic rock', 'hard rock', 'rock']"
0hCB0YR03f6AmQaHbwWDe8,spotify:playlist:37i9dQZF1DWYE5MI4mMuii,Rock & Roll Party,Led Zeppelin,https://open.spotify.com/artist/36QJpDe2go2KgaRleHCDTp,Whole Lotta Love - 1990 Remaster,,2020-08-21,False,333893,76,0.412,-11.6,89.74,0.0484,0.902,0.422,0.405,0.405,"['album rock', 'classic rock', 'hard rock', 'rock']"
2aoo2jlRnM3A0NyLQqMN2f,spotify:playlist:37i9dQZF1DWXRqgorJj26U,Rock Classics,Jimi Hendrix,https://open.spotify.com/artist/776Uo845nYHJpNaStv1Ds4,All Along the Watchtower,,2020-08-17,False,240800,76,0.438,-6.237,113.253,0.00255,0.805,0.564,0.0842,0.0624,"['acid rock', 'blues rock', 'classic rock', 'psychedelic rock', 'rock']"
0NWPxcsf5vdjdiFUI8NgkP,spotify:playlist:37i9dQZF1DWXRqgorJj26U,Rock Classics,Jimi Hendrix,https://open.spotify.com/artist/776Uo845nYHJpNaStv1Ds4,Hey Joe,,2020-08-17,False,210160,69,0.346,-5.695,169.492,0.00603,0.768,0.532,0.0244,0.0377,"['acid rock', 'blues rock', 'classic rock', 'psychedelic rock', 'rock']"
0wJoRiX5K5BxlqZTolB2LD,spotify:playlist:37i9dQZF1DWXRqgorJj26U,Rock Classics,Jimi Hendrix,https://open.spotify.com/artist/776Uo845nYHJpNaStv1Ds4,Purple Haze,,2020-08-17,False,170813,70,0.533,-5.27,108.9,0.00876,0.905,0.486,0.0698,0.0754,"['acid rock', 'blues rock', 'classic rock', 'psychedelic rock', 'rock']"
0NWPxcsf5vdjdiFUI8NgkP,spotify:playlist:37i9dQZF1DWYE5MI4mMuii,Rock & Roll Party,Jimi Hendrix,https://open.spotify.com/artist/776Uo845nYHJpNaStv1Ds4,Hey Joe,,2020-08-21,False,210160,69,0.346,-5.695,169.492,0.00603,0.768,0.532,0.0244,0.0377,"['acid rock', 'blues rock', 'classic rock', 'psychedelic rock', 'rock']"
0wJoRiX5K5BxlqZTolB2LD,spotify:playlist:37i9dQZF1DWYE5MI4mMuii,Rock & Roll Party,Jimi Hendrix,https://open.spotify.com/artist/776Uo845nYHJpNaStv1Ds4,Purple Haze,,2020-08-21,False,170813,70,0.533,-5.27,108.9,0.00876,0.905,0.486,0.0698,0.0754,"['acid rock', 'blues rock', 'classic rock', 'psychedelic rock', 'rock']"
2aoo2jlRnM3A0NyLQqMN2f,spotify:playlist:37i9dQZF1DWYE5MI4mMuii,Rock & Roll Party,Jimi Hendrix,https://open.spotify.com/artist/776Uo845nYHJpNaStv1Ds4,All Along the Watchtower,,2020-08-21,False,240800,76,0.438,-6.237,113.253,0.00255,0.805,0.564,0.0842,0.0624,"['acid rock', 'blues rock', 'classic rock', 'psychedelic rock', 'rock']"
0wJoRiX5K5BxlqZTolB2LD,spotify:playlist:37i9dQZF1DWWsq4e0rDzty,Rock School,Jimi Hendrix,https://open.spotify.com/artist/776Uo845nYHJpNaStv1Ds4,Purple Haze,,2020-09-29,False,170813,70,0.533,-5.27,108.9,0.00876,0.905,0.486,0.0698,0.0754,"['acid rock', 'blues rock', 'classic rock', 'psychedelic rock', 'rock']"
2PzU4IB8Dr6mxV3lHuaG34,spotify:playlist:37i9dQZF1DWXRqgorJj26U,Rock Classics,The Rolling Stones,https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe,(I Can't Get No) Satisfaction - Mono Version,,2020-08-17,False,222813,76,0.723,-7.89,136.302,0.0383,0.863,0.931,0.128,0.0338,"['british invasion', 'classic rock', 'rock']"
52dm9op3rbfAkc1LGXgipW,spotify:playlist:37i9dQZF1DWXRqgorJj26U,Rock Classics,The Rolling Stones,https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe,Wild Horses - 2009 Mix,,2020-08-17,False,341773,70,0.432,-6.517,139.506,0.687,0.389,0.158,0.0788,0.0255,"['british invasion', 'classic rock', 'rock']"
2PzU4IB8Dr6mxV3lHuaG34,spotify:playlist:37i9dQZF1DWYE5MI4mMuii,Rock & Roll Party,The Rolling Stones,https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe,(I Can't Get No) Satisfaction - Mono Version,,2020-08-21,False,222813,76,0.723,-7.89,136.302,0.0383,0.863,0.931,0.128,0.0338,"['british invasion', 'classic rock', 'rock']"
3RZMzCvYsmJ0u2ioKTOsmJ,spotify:playlist:37i9dQZF1DWYE5MI4mMuii,Rock & Roll Party,The Rolling Stones,https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe,Honky Tonk Women - Mono Version,,2020-08-21,False,179386,61,0.562,-6.705,119.602,0.363,0.779,0.967,0.066,0.0592,"['british invasion', 'classic rock', 'rock']"
52dm9op3rbfAkc1LGXgipW,spotify:playlist:37i9dQZF1DX525kA8Naqsg,Raised on Rock,The Rolling Stones,https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe,Wild Horses - 2009 Mix,,2021-01-14,False,341773,70,0.432,-6.517,139.506,0.687,0.389,0.158,0.0788,0.0255,"['british invasion', 'classic rock', 'rock']"
52dm9op3rbfAkc1LGXgipW,spotify:playlist:37i9dQZF1DWTJ7xPn4vNaz,All Out 70s,The Rolling Stones,https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe,Wild Horses - 2009 Mix,,2021-02-06,False,341773,70,0.432,-6.517,139.506,0.687,0.389,0.158,0.0788,0.0255,"['british invasion', 'classic rock', 'rock']"
3RZMzCvYsmJ0u2ioKTOsmJ,spotify:playlist:37i9dQZF1DXaKIA8E7WcJj,All Out 60s,The Rolling Stones,https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe,Honky Tonk Women - Mono Version,,2021-01-04,False,179386,61,0.562,-6.705,119.602,0.363,0.779,0.967,0.066,0.0592,"['british invasion', 'classic rock', 'rock']"
66lOpKgTyFjOrac4S1s94g,spotify:playlist:37i9dQZF1DWXRqgorJj26U,Rock Classics,David Bowie,https://open.spotify.com/artist/0oSGxfWSnnOXhD2fKuz2Gy,Rebel Rebel - 1999 Remaster,,2020-08-17,False,269360,0,0.676,-7.96,126.341,0.00101,0.92,0.624,0.248,0.0435,"['art rock', 'classic rock', 'dance rock', 'glam rock', 'permanent wave']"
66lOpKgTyFjOrac4S1s94g,spotify:playlist:37i9dQZF1DWWsq4e0rDzty,Rock School,David Bowie,https://open.spotify.com/artist/0oSGxfWSnnOXhD2fKuz2Gy,Rebel Rebel - 1999 Remaster,,2018-12-07,False,269360,0,0.676,-7.96,126.341,0.00101,0.92,0.624,0.248,0.0435,"['art rock', 'classic rock', 'dance rock', 'glam rock', 'permanent wave']"
0LrwgdLsFaWh9VXIjBRe8t,spotify:playlist:37i9dQZF1DWWsq4e0rDzty,Rock School,David Bowie,https://open.spotify.com/artist/0oSGxfWSnnOXhD2fKuz2Gy,Changes - 2015 Remaster,,2020-09-29,False,217746,65,0.547,-11.75,114.719,0.505,0.308,0.41,0.109,0.0377,"['art rock', 'classic rock', 'dance rock', 'glam rock', 'permanent wave']"
